endpoint,total_requests,unique_ips,status_200,status_302,status_304,status_401,status_403,status_404,status_500,status_504,status_5xx,payload_hits,attack_type
/cart_,152835,19,0,0,0,0,0,0,76402,76433,152835,0,server_error
/search_,152467,19,0,0,0,0,0,0,76529,75938,152467,0,server_error
/api/v1/user_,152461,19,0,0,0,0,0,0,76235,76226,152461,0,server_error
/products_,152378,19,0,0,0,0,0,0,76501,75877,152378,0,server_error
/checkout_,152339,19,0,0,0,0,0,0,76225,76114,152339,0,server_error
/index_.html,152193,19,0,0,0,0,0,0,76576,75617,152193,0,server_error
/searchE,113754,19,0,0,0,0,0,0,56598,57156,113754,0,server_error
/indexE.html,113389,19,0,0,0,0,0,0,56598,56791,113389,0,server_error
/cartE,113315,19,0,0,0,0,0,0,56796,56519,113315,0,server_error
/productsE,113195,19,0,0,0,0,0,0,56862,56333,113195,0,server_error
/api/v1/userE,112833,19,0,0,0,0,0,0,56394,56439,112833,0,server_error
/checkoutE,112767,19,0,0,0,0,0,0,56348,56419,112767,0,server_error
/api/v1/userA,98834,19,0,0,0,0,0,0,49487,49347,98834,0,server_error
/productsA,98273,19,0,0,0,0,0,0,49161,49112,98273,0,server_error
/cartA,98154,19,0,0,0,0,0,0,49341,48813,98154,0,server_error
/checkoutA,98121,19,0,0,0,0,0,0,48835,49286,98121,0,server_error
/searchA,98039,19,0,0,0,0,0,0,49176,48863,98039,0,server_error
/indexA.html,97712,19,0,0,0,0,0,0,48892,48820,97712,0,server_error
/checkoutS,59801,19,0,0,0,0,0,0,29806,29995,59801,0,server_error
/api/v1/userS,59745,19,0,0,0,0,0,0,29875,29870,59745,0,sensitive_endpoint
/cartS,59727,19,0,0,0,0,0,0,29975,29752,59727,0,server_error
/searchS,59693,19,0,0,0,0,0,0,30017,29676,59693,0,server_error
/indexS.html,59367,19,0,0,0,0,0,0,29614,29753,59367,0,server_error
/productsS,59299,19,0,0,0,0,0,0,29732,29567,59299,0,server_error
/searchR,55674,19,0,0,0,0,0,0,27728,27946,55674,0,server_error
/checkoutR,55647,19,0,0,0,0,0,0,27955,27692,55647,0,server_error
/productsR,55555,19,0,0,0,0,0,0,27817,27738,55555,0,server_error
/cartR,55371,19,0,0,0,0,0,0,27850,27521,55371,0,server_error
/indexR.html,55308,19,0,0,0,0,0,0,27638,27670,55308,0,server_error
/api/v1/userR,55143,19,0,0,0,0,0,0,27303,27840,55143,0,server_error
/cartT,53011,19,0,0,0,0,0,0,26389,26622,53011,0,server_error
/api/v1/userT,52836,19,0,0,0,0,0,0,26363,26473,52836,0,server_error
/searchT,52671,19,0,0,0,0,0,0,26192,26479,52671,0,server_error
/productsT,52503,19,0,0,0,0,0,0,26343,26160,52503,0,server_error
/checkoutT,52437,19,0,0,0,0,0,0,26262,26175,52437,0,server_error
/indexT.html,52404,19,0,0,0,0,0,0,26205,26199,52404,0,server_error
/checkoutO,51467,19,0,0,0,0,0,0,25786,25681,51467,0,server_error
/indexO.html,51465,19,0,0,0,0,0,0,25888,25577,51465,0,server_error
/productsO,51206,19,0,0,0,0,0,0,25813,25393,51206,0,server_error
/cartO,50985,19,0,0,0,0,0,0,25545,25440,50985,0,server_error
/api/v1/userO,50863,19,0,0,0,0,0,0,25557,25306,50863,0,server_error
/searchO,50746,19,0,0,0,0,0,0,25312,25434,50746,0,server_error
/indexL.html,34851,19,0,0,0,0,0,0,17366,17485,34851,0,server_error
/productsL,34663,19,0,0,0,0,0,0,17461,17202,34663,0,server_error
/checkoutL,34639,19,0,0,0,0,0,0,17417,17222,34639,0,server_error
/cartL,34626,19,0,0,0,0,0,0,17365,17261,34626,0,server_error
/api/v1/userL,34560,19,0,0,0,0,0,0,17193,17367,34560,0,server_error
/searchL,34180,19,0,0,0,0,0,0,17014,17166,34180,0,server_error
/checkoutN,33110,19,0,0,0,0,0,0,16580,16530,33110,0,server_error
/cartN,32998,19,0,0,0,0,0,0,16346,16652,32998,0,server_error
/productsN,32905,19,0,0,0,0,0,0,16359,16546,32905,0,server_error
/indexN.html,32781,19,0,0,0,0,0,0,16400,16381,32781,0,server_error
/searchN,32689,19,0,0,0,0,0,0,16377,16312,32689,0,server_error
/cartU,32280,19,0,0,0,0,0,0,16147,16133,32280,0,server_error
/checkoutU,32164,19,0,0,0,0,0,0,16047,16117,32164,0,server_error
/api/v1/userU,32136,19,0,0,0,0,0,0,15963,16173,32136,0,server_error
/searchU,32059,19,0,0,0,0,0,0,16119,15940,32059,0,server_error
/api/v1/userN,32010,19,0,0,0,0,0,0,15892,16118,32010,0,server_error
/productsU,31892,19,0,0,0,0,0,0,15972,15920,31892,0,server_error
/api/v1/userY,31770,19,0,0,0,0,0,0,15723,16047,31770,0,server_error
/indexU.html,31764,19,0,0,0,0,0,0,15918,15846,31764,0,server_error
/productsY,31761,19,0,0,0,0,0,0,15946,15815,31761,0,server_error
/cartY,31541,19,0,0,0,0,0,0,15707,15834,31541,0,server_error
/checkoutY,31503,19,0,0,0,0,0,0,15659,15844,31503,0,server_error
/indexY.html,31452,19,0,0,0,0,0,0,15439,16013,31452,0,server_error
/searchY,31099,19,0,0,0,0,0,0,15376,15723,31099,0,server_error
/searchW,25647,19,0,0,0,0,0,0,12856,12791,25647,0,server_error
/cartW,25505,19,0,0,0,0,0,0,12733,12772,25505,0,server_error
/indexW.html,25435,19,0,0,0,0,0,0,12764,12671,25435,0,server_error
/productsW,25380,19,0,0,0,0,0,0,12666,12714,25380,0,server_error
/api/v1/userW,25316,19,0,0,0,0,0,0,12642,12674,25316,0,server_error
/checkoutI,25220,19,0,0,0,0,0,0,12605,12615,25220,0,server_error
/api/v1/userI,25188,19,0,0,0,0,0,0,12703,12485,25188,0,server_error
/checkoutW,25143,19,0,0,0,0,0,0,12613,12530,25143,0,server_error
/indexI.html,25139,19,0,0,0,0,0,0,12455,12684,25139,0,server_error
/searchI,25104,19,0,0,0,0,0,0,12606,12498,25104,0,server_error
/cartI,25047,19,0,0,0,0,0,0,12432,12615,25047,0,server_error
/productsI,24984,19,0,0,0,0,0,0,12383,12601,24984,0,server_error
/api/v1/userM,24327,19,0,0,0,0,0,0,12170,12157,24327,0,server_error
/checkoutM,24324,19,0,0,0,0,0,0,12103,12221,24324,0,server_error
/searchM,24304,19,0,0,0,0,0,0,12192,12112,24304,0,server_error
/cartM,24275,19,0,0,0,0,0,0,12202,12073,24275,0,server_error
/indexM.html,24170,19,0,0,0,0,0,0,12120,12050,24170,0,server_error
/productsM,24120,19,0,0,0,0,0,0,12150,11970,24120,0,server_error
/searchG,16280,19,0,0,0,0,0,0,8175,8105,16280,0,server_error
/checkoutG,16270,19,0,0,0,0,0,0,8159,8111,16270,0,server_error
/productsG,16173,19,0,0,0,0,0,0,8014,8159,16173,0,server_error
/indexG.html,16134,19,0,0,0,0,0,0,8129,8005,16134,0,server_error
/api/v1/userG,16123,19,0,0,0,0,0,0,8091,8032,16123,0,server_error
/cartG,16030,19,0,0,0,0,0,0,8005,8025,16030,0,server_error
/searchF,13635,19,0,0,0,0,0,0,6835,6800,13635,0,server_error
/productsF,13629,19,0,0,0,0,0,0,6794,6835,13629,0,server_error
/cartF,13560,19,0,0,0,0,0,0,6686,6874,13560,0,server_error
/api/v1/userF,13527,19,0,0,0,0,0,0,6711,6816,13527,0,server_error
/checkoutF,13495,19,0,0,0,0,0,0,6766,6729,13495,0,server_error
/indexF.html,13486,19,0,0,0,0,0,0,6798,6688,13486,0,server_error
/indexD.html,13443,19,0,0,0,0,0,0,6809,6634,13443,0,server_error
/api/v1/userD,13417,19,0,0,0,0,0,0,6688,6729,13417,0,server_error
/cartD,13321,19,0,0,0,0,0,0,6703,6618,13321,0,server_error
/productsD,13299,19,0,0,0,0,0,0,6650,6649,13299,0,server_error
/searchD,13290,19,0,0,0,0,0,0,6650,6640,13290,0,server_error
/checkoutD,13220,19,0,0,0,0,0,0,6546,6674,13220,0,server_error
/searchZ,11987,19,0,0,0,0,0,0,5977,6010,11987,0,server_error
/cartZ,11966,19,0,0,0,0,0,0,5992,5974,11966,0,server_error
/checkoutZ,11930,19,0,0,0,0,0,0,5918,6012,11930,0,server_error
/productsX,11914,19,0,0,0,0,0,0,5910,6004,11914,0,server_error
/searchX,11884,19,0,0,0,0,0,0,5940,5944,11884,0,server_error
/api/v1/userX,11878,19,0,0,0,0,0,0,5961,5917,11878,0,server_error
/indexX.html,11733,19,0,0,0,0,0,0,5930,5803,11733,0,server_error
/cartX,11723,19,0,0,0,0,0,0,5761,5962,11723,0,server_error
/indexZ.html,11710,19,0,0,0,0,0,0,5740,5970,11710,0,server_error
/api/v1/userZ,11694,19,0,0,0,0,0,0,5909,5785,11694,0,server_error
/checkoutX,11651,19,0,0,0,0,0,0,5795,5856,11651,0,server_error
/productsZ,11609,19,0,0,0,0,0,0,5708,5901,11609,0,server_error
/cartV,11585,19,0,0,0,0,0,0,5765,5820,11585,0,server_error
/indexV.html,11520,19,0,0,0,0,0,0,5741,5779,11520,0,server_error
/productsV,11461,19,0,0,0,0,0,0,5694,5767,11461,0,server_error
/searchV,11433,19,0,0,0,0,0,0,5692,5741,11433,0,server_error
